,CD70
IKZF1,0.07991963161877175
MEF2A,0.18317897283239148
NFIX,0.15336453286866597
TAF1,0.12185844272098713
YY1,0.1506045051705632
ARNT,0.3317487389759752
CTCF,0.14153019211258241
EBF1,0.044957346846931194
MEF2C,-0.002357027974536851
POLR2A,0.18585375832433196
RUNX3,0.21716338123726694
ZNF143,0.14073272922778882
BCL11A,-0.05284541441366277
FOXM1,0.3280962950380198
MXI1,0.14885064147941926
RELA,0.1633883330073633
TCF3,0.20208052857043377
ARID3A,0.18454550647374776
ATF2,0.07823159646548794
BATF,0.30417874096140185
BHLHE40,0.18620374438408943
BMI1,-0.08983717871786737
CREM,0.19244813083744677
EED,0.13195297013011104
ETV6,0.21640058855494804
IKZF2,0.10903512443179825
IRF3,0.03742080341723765
JUNB,0.01588495359150274
MEF2B,-0.11788002230093515
MTA2,0.21633983937289844
NBN,0.18683771177027675
NFATC3,0.10825173200513713
RAD51,0.3282322468472313
RELB,0.2585217099143471
SKIL,0.09564205220504476
SMAD1,0.022977974447093888
STAT1,0.14612398097088314
TBX21,-0.08565098164314765
TCF12,0.1218996449913484
TCF7,0.10837750879275794
ZBED1,0.1553715320215767
ZNF384,0.15357949825522926
ZNF592,0.15457050641889475
ZNF687,0.27413939873930454
AHR,0.3093314110431931
AR,0.1686279101209277
ATF3,0.20548847662325234
CEBPB,0.1315956468518861
E2F1,0.2780796070971046
ESR1,-0.03606812990685943
ETS1,0.15051133156819801
ETV4,0.200781478743201
FOXA1,0.3061754785274675
FOXP3,0.23723994558893183
GATA1,0.12653821682412925
GATA2,0.1516709654427668
GCFC2,0.21681414802165921
HNF1A,0.2571262239137521
HOXD10,0.22498084587917108
HOXD9,0.17880930962161773
IRF2,0.06827493914627995
JUN,-0.08671263375343738
JUND,0.1204721560758411
LEF1,0.36023745417970326
MYB,0.36076543883842854
NF1,-0.05482426038659829
NFKB1,0.21330187509307721
NR3C1,0.10136565319239527
PAX5,-0.18695651235929814
PGR,0.23193556512953367
POU2F2,0.16268878198574938
PPARA,-0.02571539032752187
RARA,0.11224742687918256
RARB,0.043546653305219035
RXRA,0.014931348817480178
SRY,0.016746374049849706
STAT4,0.02407723967561617
TCF4,0.16979974017425065
TFAP2A,0.3683821111107307
THRB,0.11152724757011882
TP53,0.06619270424052708
USF2,0.14430758750363454
VDR,-0.017046781487861224
XBP1,0.045141398575213244
CD70,1.0
